gt,est,diff,img_fn,kp_fn,removed
"[-2.65763438e+03  3.27601581e+01  9.90259926e+01  1.43471709e-01
 -1.21953752e-01  0.00000000e+00]","[-3.62798832e+03 -5.64092556e+01  1.69246309e+02  1.83209995e-01
 -1.11194325e-01  1.83375999e-02]",976.9692159654267,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00047.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00047_kp.png,False
"[-2.97789010e+03 -6.16294001e+00  1.22290447e+02 -1.59732481e-02
  4.19218101e-02  0.00000000e+00]","[-2.94635832e+03 -7.20262532e+00  1.17410756e+02 -1.53234570e-02
  4.02762428e-02 -1.08962260e-03]",31.92405611141892,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00048.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00048_kp.png,False
"[-2.97789010e+03 -6.16294001e+00  1.22290447e+02 -1.59732481e-02
  4.19218101e-02  0.00000000e+00]","[-2.94635832e+03 -7.20262532e+00  1.17410756e+02 -1.53234570e-02
  4.02762428e-02 -1.08962260e-03]",31.92405611141892,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00049.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00049_kp.png,False
"[-2.42245494e+03 -5.48614450e+01  7.22920766e+01  1.12766142e-01
 -1.22690522e-01  0.00000000e+00]","[-2.50469398e+03 -3.44315023e+01  3.83975639e+01  9.44661118e-02
 -1.53165045e-01 -2.07538422e-03]",91.26598743223431,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00050.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00050_kp.png,False
"[-2.42245494e+03 -5.48614450e+01  7.22920766e+01  1.12766142e-01
 -1.22690522e-01  0.00000000e+00]","[-2.50469398e+03 -3.44315023e+01  3.83975639e+01  9.44661118e-02
 -1.53165045e-01 -2.07538422e-03]",91.26598743223431,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00051.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00051_kp.png,False
"[-2.39881244e+03  8.13486402e+00  8.69818647e+01 -4.95582023e-02
 -1.02986228e-01  0.00000000e+00]","[-2.41105496e+03 -3.48937944e+00  5.22933316e+01 -3.80913223e-02
 -1.33622348e-01 -7.24244101e-03]",38.57845012348533,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00052.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00052_kp.png,False
"[-2.39881244e+03  8.13486402e+00  8.69818647e+01 -4.95582023e-02
 -1.02986228e-01  0.00000000e+00]","[-2.41105496e+03 -3.48937944e+00  5.22933316e+01 -3.80913223e-02
 -1.33622348e-01 -7.24244101e-03]",38.57845012348533,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00053.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00053_kp.png,False
"[-2.08854365e+03  4.33903766e+01  4.79704999e+01 -4.37157035e-03
 -8.74926941e-02  0.00000000e+00]","[-2.15990363e+03  7.46437220e+01  5.55285771e+01 -2.81226236e-02
 -8.07047474e-02 -4.20221748e-02]",78.26968403217313,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00054.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00054_kp.png,False
"[-2.08854365e+03  4.33903766e+01  4.79704999e+01 -4.37157035e-03
 -8.74926941e-02  0.00000000e+00]","[-2.15990363e+03  7.46437220e+01  5.55285771e+01 -2.81226236e-02
 -8.07047474e-02 -4.20221748e-02]",78.26968403217313,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00055.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00055_kp.png,False
"[-2.27854755e+03  2.82706184e+01  6.04871634e+01 -2.38882325e-02
 -9.35222013e-02  0.00000000e+00]","[-2.23407715e+03  1.81807037e+01  6.09497128e+01 -1.98936036e-02
 -9.07291580e-02  3.35860781e-02]",45.6030292676654,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00056.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00056_kp.png,False
"[-2.27854755e+03  2.82706184e+01  6.04871634e+01 -2.38882325e-02
 -9.35222013e-02  0.00000000e+00]","[-2.23407715e+03  1.81807037e+01  6.09497128e+01 -1.98936036e-02
 -9.07291580e-02  3.35860781e-02]",45.6030292676654,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00057.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00057_kp.png,False
